ApplicationNo	CurrentStatus
PMS07200076795	Picked Up
PMS10202825784	Picked Up
PMS08200684905	Picked Up
PMS10202641627	Picked Up
PMS07200242980	Picked Up
PMS07200439510	Picked Up
PMS07200132671	Picked Up
PMS08201247272	Picked Up
PMS08201178686	Picked Up
PMS09201559520	Picked Up
PMS08200768573	Picked Up
PMS08200740055	Picked Up
PMS09201446345	Picked Up
PMS09201508780	Picked Up
PMS09201683396	Picked Up
PMS08201148035	Picked Up
PMS08201389522	Picked Up
PMS09202026654	Picked Up
PMS09202471583	Picked Up
PMS09202310018	Picked Up
PMS08201278040	Picked Up
PMS09202031533	Picked Up
PMS11203565493	Picked Up
PMS09202186920	Picked Up
PMS09202403296	Picked Up
PMS01214192715	Picked Up
PMS01214151849	Picked Up
PMS11203652608	Picked Up
PMS01214171807	Picked Up
PMS01214188450	Picked Up
PMS01214176185	Picked Up
PMS01214187611	Picked Up
PMS01214486047	Picked Up
PMS01214520707	Picked Up
PMS01214174846	Picked Up
PMS01214349670	Picked Up
PMS01214381897	Picked Up
PMS01214304204	Picked Up
PMS01214225862	Picked Up
PMS01214222782	Picked Up
PMS01214166483	Picked Up
PMS01214177081	Picked Up
PMS01214166979	Picked Up
PMS01214280486	Picked Up
PMS01214211234	Picked Up
PMS02214722067	Picked Up
PMS03215090070	Picked Up
PMS11226848241	Picked Up
PMS02226309773	Picked Up
PMS09201503597	Picked Up
PMS09201752817	Picked Up
PMS09202531620	Picked Up
PMS02214532141	Picked Up
PMS01214285764	Picked Up
PMS12203983273	Picked Up
PMS08201205085	Picked Up
PMS09202151680	Picked Up
PMS11203578399	Picked Up
PMS01214396646	Picked Up
PMS01214187639	Picked Up
